"word","translation","transcription","level","lang"
爱,"любовь; любить; любимый",ài,A1,zh
八,"восемь; восьмой",bā,A1,zh
爸爸,папа,bàba,A1,zh
杯子,"чашка, кружка, стакан",bēizi,A1,zh
北京,Пекин,Běijīng,A1,zh
本,корень; счётное слово; счётное слово для растений и книг,běn,A1,zh
不客气,не стесняйтесь,búkèqi,A1,zh
不,"нет, не",bù,A1,zh
菜,"овощи, блюдо, пища",cài,A1,zh
茶,чай,chá,A1,zh
吃,"кушать, есть",chī,A1,zh
出租车,такси,chūzūchē,A1,zh
打电话,"звонить по телефону, звонить",dǎ diànhuà,A1,zh
大,"большой, великий, крупный",dà,A1,zh
的,"суффикс прилагательного, суффикс притяжательности, делает своим, делает чьим-то",de,A1,zh
点,"капля, немножко, точка, запятая, час, момент времени",diǎn,A1,zh
电脑,компьютер,diàn nǎo,A1,zh
电视,"телевидение, телевизионный, телевизор",diàn shì,A1,zh
电影,"кино, кинофильм",diàn yǐng,A1,zh
东西,"вещь, предмет",dōngxi,A1,zh
都,"все, всё",dōu,A1,zh
读,"читать, зачитывать; заучивать",dú,A1,zh
对不起,"виноват, простите, извините",duì bu qǐ,A1,zh
多,"много, многочисленный, свыше",duō,A1,zh
多少,сколько? как много?,duō shao,A1,zh
儿子,сын,érzi,A1,zh
二,"два, второй",èr,A1,zh
饭馆,"ресторан, столовая",fàn guǎn,A1,zh
飞机,самолёт,fēijī,A1,zh
分钟,минута,fēn zhōng,A1,zh
高兴,"радоваться, радостный",gāo xìng,A1,zh
个,"универсальное счётное слово; счётное слово, отдельный, индивидуальный; штука; этот",gè,A1,zh
工作,"работать, работа",gōng zuò,A1,zh
狗,"собака, собачий",gǒu,A1,zh
汉语,"китайский язык, китайский",hànyǔ,A1,zh
好,"хороший, хорошо, приятный, удобный",hǎo,A1,zh
喝,пить,hē,A1,zh
和,"мирный; и; с",hé,A1,zh
很,"очень, весьма",hěn,A1,zh
后面,"задняя сторона, зад, позади, сзади, задний",hòumiàn,A1,zh
回,возвращаться,huí,A1,zh
会,"уметь, мочь, владеть; собрание, заседание",huì,A1,zh
火车站,"вокзал, железнодорожная станция",huǒ chē zhàn,A1,zh
几,"сколько?, несколько, немного",jǐ,A1,zh
家,"семья, семейство, дом, домашний",jiā,A1,zh
叫,"кричать, крик, звать, подзывать, вызывать",jiào,A1,zh
今天,"сегодня, нынешний день",jīntiān,A1,zh
九,"девять, девятый",jiǔ,A1,zh
开,"открывать, управлять, вести, включать",kāi,A1,zh
看,"смотреть, читать, навестить",kàn,A1,zh
看见,"увидеть, видеть, рассмотреть",kànjiàn,A1,zh
块,"счётное слово для основных денежных единиц, счётное слово; кусок, глыба",kuài,A1,zh
来,"приходить, прибывать, приезжать, приехать",lái,A1,zh
老师,"учитель, преподаватель",lǎoshī,A1,zh
了,"глагольный суффикс завершённости действия, завершённость действия",le,A1,zh
冷,"холодный, холодно, холод",lěng,A1,zh
里,"внутри, в",lǐ,A1,zh
零,"ноль, нулевой",líng,A1,zh
六,"шесть, шестой",liù,A1,zh
妈妈,мама,māma,A1,zh
吗,"фразовая частица, выражающая вопрос, вопросительная частица",ma,A1,zh
买,"покупать, приобретать, купить",mǎi,A1,zh
猫,кошка,māo,A1,zh
没,"отрицательная частица, нет, не иметь",méi,A1,zh
没关系,"неважно, ничего, пустяки",méi guānxi,A1,zh
米饭,варёный рис,mǐfàn,A1,zh
明天,"завтра, завтрашний день",míng tiān,A1,zh
名字,"имя, кличка",míngzi,A1,zh
哪,"какой, который",nǎ,A1,zh
那,"тот, то, тогда, в таком случае",nà,A1,zh
呢,"вопросительная частица «же», же, утвердительная частица «ведь», ведь",ne,A1,zh
能,"способный, способность; мочь, быть в состоянии",néng,A1,zh
你,"ты, вы, твой, ваш",nǐ,A1,zh
年,"год, годы",nián,A1,zh
女儿,дочь,nǚ’er,A1,zh
朋友,"друг, товарищ",péng you,A1,zh
漂亮,красивый,piào liang,A1,zh
苹果,яблоко,píng guǒ,A1,zh
七,"семь, седьмой",qī,A1,zh
钱,деньги,qián,A1,zh
前面,"перед, впереди, выше, раньше",qiánmiàn,A1,zh
请,"просить, пожалуйста, приглашать",qǐng,A1,zh
去,"уходить, отправляться, идти",qù,A1,zh
热,"горячий, увлечение, мода",rè,A1,zh
人,человек,rén,A1,zh
认识,"знать, быть знакомым, знакомиться",rènshi,A1,zh
日,"солнце, солнечный, день, число, дата",rì,A1,zh
三,"три, третий",sān,A1,zh
商店,магазин,shāng diàn,A1,zh
上,"верх, прошлый, на, в",shàng,A1,zh
上午,до полудня,shàng wǔ,A1,zh
少,"мало, немного редко",shǎo,A1,zh
谁,"кто, кого, чей",shuí,A1,zh
什么,"что?, что такое?, какой?, как?",shénme,A1,zh
十,"десять, десятый",shí,A1,zh
时候,"время, промежуток времени, во время",shíhou,A1,zh
是,"есть, быть, являться; да, правда",shì,A1,zh
书,книга,shū,A1,zh
水,"вода, водяной, гидро",shuǐ,A1,zh
水果,"фрукты, фруктовый",shuǐguǒ,A1,zh
睡觉,спать,shuì jiào,A1,zh
说话,"говорить, разговаривать",shuōhuà,A1,zh
四,"четыре, четвёртый",sì,A1,zh
岁,"годы, лета",suì,A1,zh
他,"он, его",tā,A1,zh
她,"она, её",tā,A1,zh
太,"слишком, чересчур, чрезвычайно",tài,A1,zh
天气,"погода, климат",tiānqì,A1,zh
听,слушать,tīng,A1,zh
同学,"соученик, одноклассник",tóng xué,A1,zh
喂,"кормить; алло, эй!",wèi,A1,zh
我,"я, мой, наш",wǒ,A1,zh
我们,"мы, наш",wǒmen,A1,zh
五,"пять, пятый",wǔ,A1,zh
喜欢,"нравиться, любить",xǐhuan,A1,zh
下,"нижний, низ; предлог под, при; следующий",xià,A1,zh
下午,"вторая половина дня, после полудня",xiàwǔ,A1,zh
下雨,"идёт дождь, стоит дождливая погода",xiàyǔ,A1,zh
先生,"господин, мистер",xiān sheng,A1,zh
现在,"теперь, сейчас, ныне",xiàn zài,A1,zh
想,"думать, собираться, хотеть",xiǎng,A1,zh
小,"маленький, мелкий, малый, молодой, младший",xiǎo,A1,zh
小姐,"барышня, мисс",xiǎojie,A1,zh
些,"немного, несколько",xiē,A1,zh
写,"писать, записывать, описывать",xiě,A1,zh
谢谢,"спасибо, благодарю, благодарить",xièxie,A1,zh
星期,неделя,xīngqī,A1,zh
学生,"студент, ученик, учащийся",xué sheng,A1,zh
学习,"учиться, обучаться; обучение, учёба",xuéxí,A1,zh
学校,"школа, учебное заведение, училище",xuéxiào,A1,zh
一,"один, единица, первый",yī,A1,zh
衣服,"одежда, платье, костюм",yīfu,A1,zh
医生,"врач, доктор",yī sheng,A1,zh
医院,"больница, госпиталь",yī yuàn,A1,zh
