words,correct_sentence,level,language
"爱,不,你,我,在","我爱你。",A1,zh
"学生,是,我,今天","我是学生。",A1,zh
"这,爸爸,我,是,和","这是我爸爸。",A1,zh
"我,咖啡,喝,很","我喝咖啡。",A1,zh
"吗,好,你,的","你好吗？",A1,zh
"很,热,今天,了","今天很热。",A1,zh
"不,茶,喜欢,我,在","我不喜欢茶。",A1,zh
"他,北京,去,很","他去北京。",A1,zh
"两,我,朋友,个,有,了","我有两个朋友。",A1,zh
"这,什么,是,的","这是什么？",A1,zh
"我,书,大,很,的,和","我的书很大。",A1,zh
"她,高兴,很,了","她很高兴。",A1,zh
"我们,汉语,学习,在","我们学习汉语。",A1,zh
"不,对,我,懂,不起,了","对不起，我不懂。",A1,zh
"十,现在,点,的","现在十点。",A1,zh
"我,吃,苹果,喜欢,很","我喜欢吃苹果。",A1,zh
"妈妈,在,茶,喝,了","妈妈在喝茶。",A1,zh
"不,我,工作,是,和","我不工作。",A1,zh
"你,名字,好,很,的，尼，爱人,了","你的名字很好。",A1,zh
"这,杯子,是,在","这是杯子。",A1,zh
"她,是,是的，老师,我,的","她是我老师。",A1,zh
"明天,星期天，我,了","明天星期天。",A1,zh
"我,出租车,坐,和","我坐出租车。",A1,zh
"狗,小,很,了","狗很小。",A1,zh
"谢谢,你，加,的","谢谢你。",A1,zh
"我,衣服,买,在","我买衣服。",A1,zh
"猫,在,睡觉,了","猫在睡觉。",A1,zh
"不,我,冷,和","我不冷。",A1,zh
"儿子,电视,看,了","儿子看电视。",A1,zh
"再见,在","再见！",A1,zh
"可以,我,帮助,吗,你,了","我可以帮助你吗？",A2,zh
"哥哥,弟弟,比,高,的","哥哥比弟弟高。",A2,zh
"昨天,是,生日,她,的,和","昨天是她的生日。",A2,zh
"我们,一起,去,旅游,吧,了","我们一起去旅游吧。",A2,zh
"这,书,非常,有意思,本,在","这本书非常有意思。",A2,zh
"他,正在,房间,里,睡觉,的","他正在房间里睡觉。",A2,zh
"你,想,喝,牛奶,还是,咖啡,了","你想喝牛奶还是咖啡？",A2,zh
